Rank,Predictor,Mean_Abs_SHAP,Normalized_SHAP_Importance_Percent
1,UNRATE,0.0023788628,20.786411
2,VIXCLS,0.0014873511,12.996417
3,Vol_20,0.0014779487,12.914259
4,CPIAUCSL,0.0012434189,10.864946
5,Volume_Lag1,0.0010335419,9.031049
6,Return_Lag5,0.00070388097,6.1504846
7,SP500,0.00062427094,5.454855
8,Return_Lag1,0.0005607011,4.8993845
9,Close_Lag5,0.00039319095,3.4356873
10,FEDFUNDS,0.00030636266,2.676985
11,DHHNGSP,0.00027294867,2.3850148
12,Open_Lag1,0.00024330846,2.1260197
13,DCOILWTICO,0.00020954246,1.8309739
14,SMA_20,0.00016141297,1.4104203
15,Close_Lag1,0.00015213329,1.3293349
16,SMA_50,0.00011493548,1.0043018
17,High_Lag1,8.050587e-05,0.7034572
18,Low_Lag1,0.0,0.0
