Feature,Mean_Abs_SHAP,SHAP_Std
UNRATE,0.0023788628,0.0031393152
VIXCLS,0.0014873511,0.0015405638
Vol_20,0.0014779487,0.0022889362
CPIAUCSL,0.0012434189,0.0014971581
Volume_Lag1,0.0010335419,0.0016240054
Return_Lag5,0.00070388097,0.0014404538
SP500,0.00062427094,0.0007783291
Return_Lag1,0.0005607011,0.0014368019
Close_Lag5,0.00039319095,0.0007414288
FEDFUNDS,0.00030636266,0.0004308761
DHHNGSP,0.00027294867,0.00052598014
Open_Lag1,0.00024330846,0.00038621327
DCOILWTICO,0.00020954246,0.0002603427
SMA_20,0.00016141297,0.00034527332
Close_Lag1,0.00015213329,0.00020646023
SMA_50,0.00011493548,0.00022683913
High_Lag1,8.050587e-05,8.346631e-05
Low_Lag1,0.0,0.0
