Statistic,Model,Mean_across_seeds,SD_across_seeds,Seed_count
Mean,LSTM,0.042155963281375664,6.133384745261534e-05,10
Standard deviation,LSTM,0.03651602611581471,9.22621368284325e-05,10
Maximum,LSTM,0.22017758540380972,0.005485962369990459,10
Median,LSTM,0.03223046531139301,0.00014497149374897113,10
75th percentile,LSTM,0.05866053190997171,0.0005656628828909712,10
Mean,Simplified attention,0.04223944881995219,0.00015768667380035726,10
Standard deviation,Simplified attention,0.0366112656251258,0.00011305984433479977,10
Maximum,Simplified attention,0.2233263096791842,0.005830590507679332,10
Median,Simplified attention,0.0323465340964532,0.00028131471326790807,10
75th percentile,Simplified attention,0.05886034238640638,0.000678475401858589,10
Mean,Fixed ensemble,0.04216078285882803,5.0445830392296736e-05,10
Standard deviation,Fixed ensemble,0.03656431468903006,6.0064150956733516e-05,10
Maximum,Fixed ensemble,0.22212685420564973,0.004594843151222756,10
Median,Fixed ensemble,0.032278186319402456,0.00015825964974478237,10
75th percentile,Fixed ensemble,0.05866461468495564,0.0004590684299220544,10
Mean,XGBoost,0.042220294292622994,,1
Standard deviation,XGBoost,0.036666161005537115,,1
Maximum,XGBoost,0.2257540676142097,,1
Median,XGBoost,0.0322764400704686,,1
75th percentile,XGBoost,0.0594899650299001,,1
