Model,N_asset_date,N_dates,Block_length_dates,Observed_Directional_Accuracy,Bootstrap_CI95_Low,Bootstrap_CI95_High,Majority_Class_Baseline,Bootstrap_p_vs_0.5,Bootstrap_p_vs_majority
LSTM,1476,164,5,0.489159891598916,0.45663956639566394,0.5169376693766937,0.5013550135501355,0.357,0.313
Transformer,1476,164,5,0.48848238482384826,0.4559620596205962,0.521680216802168,0.5013550135501355,0.528,0.478
XGBoost,1476,164,5,0.49525745257452575,0.4600271002710027,0.5237127371273713,0.5013550135501355,0.66,0.617
Ensemble,1476,164,5,0.4986449864498645,0.46476964769647694,0.5291327913279132,0.5013550135501355,0.838,0.783
LSTM,1476,164,10,0.489159891598916,0.4559620596205962,0.5115176151761518,0.5013550135501355,0.302,0.251
Transformer,1476,164,10,0.48848238482384826,0.454590108401084,0.518970189701897,0.5013550135501355,0.48,0.427
XGBoost,1476,164,10,0.49525745257452575,0.45867208672086723,0.5230352303523035,0.5013550135501355,0.599,0.548
Ensemble,1476,164,10,0.4986449864498645,0.4600271002710027,0.5277947154471544,0.5013550135501355,0.824,0.763
LSTM,1476,164,20,0.489159891598916,0.45663956639566394,0.5121951219512195,0.5013550135501355,0.274,0.229
Transformer,1476,164,20,0.48848238482384826,0.45257452574525747,0.5183096205962059,0.5013550135501355,0.427,0.392
XGBoost,1476,164,20,0.49525745257452575,0.4613821138211382,0.5155826558265583,0.5013550135501355,0.431,0.376
Ensemble,1476,164,20,0.4986449864498645,0.46476964769647694,0.5257452574525745,0.5013550135501355,0.692,0.627
