Model,Seed,N,MAE,RMSE,R2,Directional_Accuracy
LSTM,0,1476,0.04218089545806188,0.05566525844863981,0.00357764027104579,0.5013550135501355
Simplified attention,0,1476,0.042179364265394634,0.05579028005381035,-0.0009032233918895294,0.5047425474254743
LSTM,1,1476,0.0421507257221824,0.055774626703333996,-0.0003416456051594796,0.5013550135501355
Simplified attention,1,1476,0.042183630112907586,0.0558454722453694,-0.0028845494329066135,0.49525745257452575
LSTM,2,1476,0.042165342631851024,0.05583704529357385,-0.002581906379599319,0.4986449864498645
Simplified attention,2,1476,0.042164723808698235,0.05583685078320238,-0.0025749213309333996,0.4986449864498645
LSTM,3,1476,0.04213057423450022,0.055773552932169415,-0.0003031288911037322,0.49661246612466126
Simplified attention,3,1476,0.042143105303663414,0.055816811554777905,-0.0018554243538853044,0.5
LSTM,4,1476,0.04206160336550074,0.05559000570711624,0.006269905860827096,0.49525745257452575
Simplified attention,4,1476,0.04265436621135156,0.05636509787528829,-0.021634465927790725,0.4911924119241192
LSTM,5,1476,0.04212711965885793,0.055768026727154286,-0.00010491285437130848,0.4986449864498645
Simplified attention,5,1476,0.04225818081136866,0.05598339979964045,-0.007844530112006476,0.5047425474254743
LSTM,6,1476,0.04230141402485138,0.05588354237517735,-0.004252358036565651,0.5013550135501355
Simplified attention,6,1476,0.042330452257992666,0.05585616469180812,-0.0032686205299703452,0.5013550135501355
LSTM,7,1476,0.042138941059415846,0.05578849425240565,-0.0008391482241816295,0.4986449864498645
Simplified attention,7,1476,0.04213890209363308,0.0558071316074421,-0.0015079639184669702,0.5047425474254743
LSTM,8,1476,0.042176546608980695,0.05579509137242263,-0.001075865362966999,0.5013550135501355
Simplified attention,8,1476,0.04220164278279231,0.055814676902197095,-0.0017787961011002107,0.49525745257452575
LSTM,9,1476,0.04212647005434394,0.05576643670560866,-4.7884991509983266e-05,0.5013550135501355
Simplified attention,9,1476,0.04214012054669601,0.055780665178316584,-0.0005582625634217298,0.49796747967479676
